channel,mae_analysis_std,mae_bg_std,rmse_analysis_std,rmse_bg_std,bias_analysis_std,bias_bg_std,std_era5,mae_climatology_std,mean_abs_analysis_minus_bg,mae_analysis_phys,mae_bg_phys,improve_pct
u925,0.11837449852800194,0.11813241653535538,0.16356579601305135,0.16335553850289544,0.0006290710092691638,0.0017796032180752656,5.662603855133057,0.7360247851174975,0.012709365662492093,0.6703078917141061,0.6689370772892874,-0.34649914601974213
u1000,0.11138214362846625,0.11121021969414456,0.1602572623289603,0.1601369021463791,0.0001484459237410472,0.001733539579561269,4.350813865661621,0.6688932463071867,0.009244561311817286,0.48460297488584514,0.48385496584855925,-0.34649914601974213
v50,0.12798226390275036,0.12805284483819945,0.16674159259194893,0.1668256496203885,-0.005362630540798435,0.0009144828502220694,6.136265277862549,0.5503982999473265,0.011082446170522762,0.7853331221686884,0.7857662255121638,-0.34649914601974213
v100,0.10765580469580943,0.107858214628711,0.14181927771102545,0.14206981131097302,-0.0008944273467138136,0.002793439324667748,7.103512287139893,0.7421854833805518,0.008848226913165697,0.7647343314386148,0.7661721528840203,-0.34649914601974213
v150,0.08518095160869743,0.08521866683121566,0.11332210558104294,0.11338796133113492,-0.0008695252721854037,-0.0034223279537990126,9.060528755187988,0.8384614039457179,0.005464978954585335,0.7717844614448796,0.7721261813030144,-0.34649914601974213
v200,0.07425409542917477,0.0742223275479234,0.1012306593293866,0.1011690869151462,-0.0016360759069649583,0.0010558955114839716,11.169410705566406,0.9526522991101238,0.006943848951104505,0.8293744884187743,0.829019659905832,-0.34649914601974213
v250,0.07763540624262212,0.07752430004077954,0.10832229457517507,0.1081122255969611,-0.001327945498774631,0.000910977334357225,12.473112106323242,0.9964717674022484,0.007184957032966381,0.968355125484173,0.9669692853728826,-0.34649914601974213
v300,0.08236383640722478,0.08227521735669929,0.11555920778372882,0.11545020887936333,-7.090713753750473e-05,0.0010827231925249245,12.330634117126465,0.9703746025262444,0.006534441550863823,1.0155983312203487,1.0145056021325118,-0.34649914601974213
v400,0.08796047767294486,0.08797500843239063,0.12338870859730763,0.12341778096635922,-0.0006402983550114218,0.0006503777213221796,10.290472030639648,0.9332898867727054,0.005616027071653559,0.9051548352951424,0.905304363668803,-0.34649914601974213
v500,0.09398148332905566,0.0940058839306581,0.13196745182045333,0.1320090604112374,-0.0006856305469214116,-0.0018710565267719774,8.402085304260254,0.9252645266652835,0.005342559853752891,0.7896404399516386,0.7898454558877777,-0.34649914601974213
v600,0.10807672130319225,0.10795751594944024,0.1515248681219692,0.15143823032807485,-0.0011048984156878294,-0.002885337841943798,7.107772350311279,0.9131130996350113,0.008849576672354897,0.7681847313911279,0.7673374468737203,-0.34649914601974213
